Entidad,Year,Month,Gas87,Gas91,Diesel,Longitud,Latitud
Aguascalientes,2017,1,16.19,17.96,17.28,-102.291,21.8818
Aguascalientes,2017,2,16.22,17.99,17.31,-102.291,21.8818
Aguascalientes,2017,3,16.1,17.86,17.16,-102.291,21.8818
Aguascalientes,2017,4,16.12,17.85,17.09,-102.291,21.8818
Aguascalientes,2017,5,16.03,17.78,16.97,-102.291,21.8818
Aguascalientes,2017,6,15.94,17.64,16.79,-102.291,21.8818
Aguascalientes,2017,7,15.86,17.54,16.66,-102.291,21.8818
Aguascalientes,2017,8,15.92,17.62,16.71,-102.291,21.8818
Aguascalientes,2017,9,16.15,17.87,16.95,-102.291,21.8818
Aguascalientes,2017,10,16.28,17.96,17.15,-102.291,21.8818
Aguascalientes,2017,11,16.36,18.06,17.27,-102.291,21.8818
Aguascalientes,2017,12,16.48,18.17,17.4,-102.291,21.8818
Aguascalientes,2018,1,17.16,18.84,18.05,-102.291,21.8818
Aguascalientes,2018,2,18,19.54,18.89,-102.291,21.8818
Aguascalientes,2018,3,18.26,19.73,19.19,-102.291,21.8818
Aguascalientes,2018,4,18.34,19.8,19.27,-102.291,21.8818
Aguascalientes,2018,5,18.46,19.89,19.38,-102.291,21.8818
Aguascalientes,2018,6,18.65,20.06,19.58,-102.291,21.8818
Aguascalientes,2018,7,19.02,20.43,19.93,-102.291,21.8818
Aguascalientes,2018,8,19.55,21.01,20.46,-102.291,21.8818
Aguascalientes,2018,9,19.8,21.25,20.73,-102.291,21.8818
Aguascalientes,2018,10,20,21.48,21.02,-102.291,21.8818
Aguascalientes,2018,11,20,21.49,21.2,-102.291,21.8818
Aguascalientes,2018,12,19.81,21.29,21.12,-102.291,21.8818
Aguascalientes,2019,1,19.64,21.01,21.16,-102.291,21.8818
Aguascalientes,2019,2,20.07,21.12,21.93,-102.291,21.8818
Aguascalientes,2019,3,20.33,21.34,22.01,-102.291,21.8818
Aguascalientes,2019,4,19.85,21.05,21.68,-102.291,21.8818
Aguascalientes,2019,5,19.74,20.99,21.59,-102.291,21.8818
Aguascalientes,2019,6,19.65,21,21.44,-102.291,21.8818
Aguascalientes,2019,7,19.71,21.07,21.47,-102.291,21.8818
Aguascalientes,2019,8,19.67,21.09,21.45,-102.291,21.8818
Aguascalientes,2019,9,19.74,21.13,21.49,-102.291,21.8818
Aguascalientes,2019,10,19.78,21.19,21.47,-102.291,21.8818
Aguascalientes,2019,11,19.84,21.19,21.47,-102.291,21.8818
Aguascalientes,2019,12,19.91,21.25,21.6,-102.291,21.8818
Aguascalientes,2020,1,19.97,21.27,21.65,-102.291,21.8818
Aguascalientes,2020,2,19.95,21.14,21.52,-102.291,21.8818
Aguascalientes,2020,3,18.52,19.76,20.77,-102.291,21.8818
Aguascalientes,2020,4,15.35,16.73,19.39,-102.291,21.8818
Aguascalientes,2020,5,16.56,17.45,19.13,-102.291,21.8818
Aguascalientes,2020,6,18,18.54,19.5,-102.291,21.8818
Aguascalientes,2020,7,19.19,19.66,19.94,-102.291,21.8818
Aguascalientes,2020,8,19.29,19.82,19.97,-102.291,21.8818
Baja California,2017,1,16.08,17.86,17.2,-115.283,30.8406
Baja California,2017,2,16.04,17.81,17.2,-115.283,30.8406
Baja California,2017,3,15.85,17.61,17.1,-115.283,30.8406
Baja California,2017,4,15.87,17.6,17.04,-115.283,30.8406
Baja California,2017,5,15.83,17.57,16.96,-115.283,30.8406
Baja California,2017,6,15.81,17.53,16.88,-115.283,30.8406
Baja California,2017,7,15.7,17.41,16.76,-115.283,30.8406
Baja California,2017,8,15.8,17.51,16.78,-115.283,30.8406
Baja California,2017,9,15.98,17.7,16.97,-115.283,30.8406
Baja California,2017,10,16.12,17.82,17.14,-115.283,30.8406
Baja California,2017,11,16.27,17.96,17.28,-115.283,30.8406
Baja California,2017,12,16.38,18.09,17.45,-115.283,30.8406
Baja California,2018,1,16.8,18.45,17.9,-115.283,30.8406
Baja California,2018,2,17.31,18.95,18.41,-115.283,30.8406
Baja California,2018,3,17.53,19.16,18.6,-115.283,30.8406
Baja California,2018,4,17.67,19.29,18.7,-115.283,30.8406
Baja California,2018,5,17.81,19.38,18.83,-115.283,30.8406
Baja California,2018,6,18.07,19.64,19.07,-115.283,30.8406
Baja California,2018,7,18.49,20.03,19.41,-115.283,30.8406
Baja California,2018,8,19.03,20.52,19.88,-115.283,30.8406
Baja California,2018,9,19.36,20.81,20.12,-115.283,30.8406
Baja California,2018,10,19.57,21.09,20.37,-115.283,30.8406
Baja California,2018,11,19.61,21.2,20.52,-115.283,30.8406
Baja California,2018,12,19.4,20.91,20.51,-115.283,30.8406
Baja California,2019,1,18.05,19.67,19.34,-115.283,30.8406
Baja California,2019,2,18.17,19.41,19.9,-115.283,30.8406
Baja California,2019,3,18.56,19.69,20.21,-115.283,30.8406
Baja California,2019,4,18.49,19.95,20.17,-115.283,30.8406
Baja California,2019,5,18.43,20.16,20.15,-115.283,30.8406
Baja California,2019,6,18.34,20.25,20.11,-115.283,30.8406
Baja California,2019,7,18.36,20.4,20.17,-115.283,30.8406
Baja California,2019,8,18.17,20.27,20.15,-115.283,30.8406
Baja California,2019,9,18.2,20.22,20.16,-115.283,30.8406
Baja California,2019,10,18.09,19.94,20.12,-115.283,30.8406
Baja California,2019,11,18,19.83,20.12,-115.283,30.8406
Baja California,2019,12,18,19.89,20.21,-115.283,30.8406
Baja California,2020,1,18.27,20.25,20.37,-115.283,30.8406
Baja California,2020,2,18.37,20.17,20.38,-115.283,30.8406
Baja California,2020,3,17.27,19.17,19.86,-115.283,30.8406
Baja California,2020,4,14.19,16.23,18.5,-115.283,30.8406
Baja California,2020,5,15.51,16.61,18.14,-115.283,30.8406
Baja California,2020,6,17.15,17.71,18.59,-115.283,30.8406
Baja California,2020,7,17.94,18.44,18.98,-115.283,30.8406
Baja California,2020,8,17.85,18.41,18.91,-115.283,30.8406
Baja California Sur,2017,1,16.11,17.85,17.2,-111.666,26.0444
Baja California Sur,2017,2,16.09,17.81,17.18,-111.666,26.0444
Baja California Sur,2017,3,16,17.73,17.05,-111.666,26.0444
Baja California Sur,2017,4,16.02,17.72,16.98,-111.666,26.0444
Baja California Sur,2017,5,15.93,17.66,16.87,-111.666,26.0444
Baja California Sur,2017,6,15.83,17.53,16.68,-111.666,26.0444
Baja California Sur,2017,7,15.75,17.43,16.55,-111.666,26.0444
Baja California Sur,2017,8,15.82,17.5,16.61,-111.666,26.0444
Baja California Sur,2017,9,16.04,17.75,16.86,-111.666,26.0444
Baja California Sur,2017,10,16.17,17.84,17.05,-111.666,26.0444
Baja California Sur,2017,11,16.33,18.01,17.21,-111.666,26.0444
Baja California Sur,2017,12,16.55,18.2,17.43,-111.666,26.0444
Baja California Sur,2018,1,16.97,18.61,17.9,-111.666,26.0444
Baja California Sur,2018,2,17.37,19.05,18.36,-111.666,26.0444
Baja California Sur,2018,3,17.58,19.22,18.57,-111.666,26.0444
Baja California Sur,2018,4,17.67,19.28,18.65,-111.666,26.0444
Baja California Sur,2018,5,17.85,19.42,18.82,-111.666,26.0444
Baja California Sur,2018,6,18.1,19.69,19.05,-111.666,26.0444
Baja California Sur,2018,7,18.47,19.98,19.37,-111.666,26.0444
Baja California Sur,2018,8,19.05,20.48,19.88,-111.666,26.0444
Baja California Sur,2018,9,19.34,20.75,20.17,-111.666,26.0444
Baja California Sur,2018,10,19.56,21,20.47,-111.666,26.0444
Baja California Sur,2018,11,19.63,21.08,20.69,-111.666,26.0444
Baja California Sur,2018,12,19.53,21.01,20.72,-111.666,26.0444
Baja California Sur,2019,1,19.28,20.71,20.68,-111.666,26.0444
Baja California Sur,2019,2,19.57,20.52,21.55,-111.666,26.0444
Baja California Sur,2019,3,20.38,21.34,21.75,-111.666,26.0444
Baja California Sur,2019,4,20.39,21.61,21.69,-111.666,26.0444
Baja California Sur,2019,5,20.4,21.7,21.74,-111.666,26.0444
Baja California Sur,2019,6,20.43,21.77,21.75,-111.666,26.0444
Baja California Sur,2019,7,20.56,21.79,21.84,-111.666,26.0444
Baja California Sur,2019,8,20.59,21.83,21.84,-111.666,26.0444
Baja California Sur,2019,9,20.64,21.87,21.89,-111.666,26.0444
Baja California Sur,2019,10,20.64,21.89,21.85,-111.666,26.0444
Baja California Sur,2019,11,20.64,21.87,21.87,-111.666,26.0444
Baja California Sur,2019,12,20.68,21.94,21.93,-111.666,26.0444
Baja California Sur,2020,1,20.76,21.95,22.02,-111.666,26.0444
Baja California Sur,2020,2,20.7,21.8,21.82,-111.666,26.0444
Baja California Sur,2020,3,19.03,20.24,20.93,-111.666,26.0444
Baja California Sur,2020,4,15.92,16.99,19.68,-111.666,26.0444
Baja California Sur,2020,5,17.29,17.69,19.29,-111.666,26.0444
Baja California Sur,2020,6,18.94,19.06,20.13,-111.666,26.0444
Baja California Sur,2020,7,19.67,19.8,20.78,-111.666,26.0444
Baja California Sur,2020,8,19.51,19.66,20.76,-111.666,26.0444
Campeche,2017,1,15.66,17.42,16.73,-90.5349,19.8301
Campeche,2017,2,15.65,17.42,16.72,-90.5349,19.8301
Campeche,2017,3,15.56,17.33,16.6,-90.5349,19.8301
Campeche,2017,4,15.59,17.32,16.54,-90.5349,19.8301
Campeche,2017,5,15.49,17.25,16.42,-90.5349,19.8301
Campeche,2017,6,15.39,17.11,16.24,-90.5349,19.8301
Campeche,2017,7,15.32,17.02,16.11,-90.5349,19.8301
Campeche,2017,8,15.38,17.09,16.17,-90.5349,19.8301
Campeche,2017,9,15.6,17.34,16.43,-90.5349,19.8301
Campeche,2017,10,15.72,17.43,16.62,-90.5349,19.8301
Campeche,2017,11,15.81,17.53,16.73,-90.5349,19.8301
Campeche,2017,12,15.99,17.67,16.92,-90.5349,19.8301
Campeche,2018,1,16.67,18.23,17.58,-90.5349,19.8301
Campeche,2018,2,17.26,18.74,18.27,-90.5349,19.8301
Campeche,2018,3,17.43,18.87,18.46,-90.5349,19.8301
Campeche,2018,4,17.53,18.91,18.54,-90.5349,19.8301
Campeche,2018,5,17.7,19.04,18.7,-90.5349,19.8301
Campeche,2018,6,17.98,19.29,18.98,-90.5349,19.8301
Campeche,2018,7,18.39,19.73,19.36,-90.5349,19.8301
Campeche,2018,8,19,20.36,19.9,-90.5349,19.8301
Campeche,2018,9,19.24,20.6,20.2,-90.5349,19.8301
Campeche,2018,10,19.44,20.83,20.5,-90.5349,19.8301
Campeche,2018,11,19.46,20.85,20.67,-90.5349,19.8301
Campeche,2018,12,19.39,20.78,20.63,-90.5349,19.8301
Campeche,2019,1,19.18,20.58,20.62,-90.5349,19.8301
Campeche,2019,2,19.43,20.34,21.41,-90.5349,19.8301
Campeche,2019,3,19.91,20.9,21.5,-90.5349,19.8301
Campeche,2019,4,19.75,21.03,21.37,-90.5349,19.8301
Campeche,2019,5,19.69,20.98,21.37,-90.5349,19.8301
Campeche,2019,6,19.66,21,21.34,-90.5349,19.8301
Campeche,2019,7,19.62,20.99,21.3,-90.5349,19.8301
Campeche,2019,8,19.62,21,21.3,-90.5349,19.8301
Campeche,2019,9,19.69,21.05,21.4,-90.5349,19.8301
Campeche,2019,10,19.54,20.94,21.26,-90.5349,19.8301
Campeche,2019,11,19.48,20.83,21.23,-90.5349,19.8301
Campeche,2019,12,19.61,20.83,21.35,-90.5349,19.8301
Campeche,2020,1,19.73,20.89,21.48,-90.5349,19.8301
Campeche,2020,2,19.59,20.6,21.15,-90.5349,19.8301
Campeche,2020,3,18.66,19.69,20.64,-90.5349,19.8301
Campeche,2020,4,16.02,17.25,19.61,-90.5349,19.8301
Campeche,2020,5,16.7,17.53,19.5,-90.5349,19.8301
Campeche,2020,6,18.24,18.58,20.13,-90.5349,19.8301
Campeche,2020,7,19.35,19.56,20.67,-90.5349,19.8301
Campeche,2020,8,19.43,19.65,20.66,-90.5349,19.8301
Chiapas,2017,1,15.86,17.63,16.93,-93.1292,16.7569
Chiapas,2017,2,15.87,17.63,16.93,-93.1292,16.7569
Chiapas,2017,3,15.76,17.52,16.8,-93.1292,16.7569
Chiapas,2017,4,15.78,17.5,16.73,-93.1292,16.7569
Chiapas,2017,5,15.69,17.43,16.61,-93.1292,16.7569
Chiapas,2017,6,15.59,17.29,16.43,-93.1292,16.7569
Chiapas,2017,7,15.51,17.2,16.31,-93.1292,16.7569
Chiapas,2017,8,15.58,17.28,16.36,-93.1292,16.7569
Chiapas,2017,9,15.81,17.53,16.62,-93.1292,16.7569
Chiapas,2017,10,15.93,17.62,16.81,-93.1292,16.7569
Chiapas,2017,11,16.01,17.72,16.92,-93.1292,16.7569
Chiapas,2017,12,16.16,17.8,17.04,-93.1292,16.7569
Chiapas,2018,1,16.68,18.23,17.56,-93.1292,16.7569
Chiapas,2018,2,17.17,18.7,18.16,-93.1292,16.7569
Chiapas,2018,3,17.36,18.84,18.38,-93.1292,16.7569
Chiapas,2018,4,17.48,18.93,18.49,-93.1292,16.7569
Chiapas,2018,5,17.65,19.08,18.65,-93.1292,16.7569
Chiapas,2018,6,17.88,19.31,18.88,-93.1292,16.7569
Chiapas,2018,7,18.3,19.7,19.25,-93.1292,16.7569
Chiapas,2018,8,18.87,20.28,19.79,-93.1292,16.7569
Chiapas,2018,9,19.09,20.48,20.06,-93.1292,16.7569
Chiapas,2018,10,19.22,20.63,20.28,-93.1292,16.7569
Chiapas,2018,11,19.2,20.61,20.43,-93.1292,16.7569
Chiapas,2018,12,18.93,20.34,20.34,-93.1292,16.7569
Chiapas,2019,1,18.52,19.8,20.28,-93.1292,16.7569
Chiapas,2019,2,18.91,19.67,21.14,-93.1292,16.7569
Chiapas,2019,3,19.62,20.55,21.45,-93.1292,16.7569
Chiapas,2019,4,19.46,20.69,21.28,-93.1292,16.7569
Chiapas,2019,5,19.27,20.61,21.11,-93.1292,16.7569
Chiapas,2019,6,19.1,20.58,20.84,-93.1292,16.7569
Chiapas,2019,7,19.19,20.57,20.91,-93.1292,16.7569
Chiapas,2019,8,19.21,20.59,20.97,-93.1292,16.7569
Chiapas,2019,9,19.27,20.62,21.01,-93.1292,16.7569
Chiapas,2019,10,19.19,20.54,20.95,-93.1292,16.7569
Chiapas,2019,11,19.18,20.33,20.9,-93.1292,16.7569
Chiapas,2019,12,19.27,20.32,21.06,-93.1292,16.7569
Chiapas,2020,1,19.31,20.29,21.13,-93.1292,16.7569
Chiapas,2020,2,19.15,19.95,20.88,-93.1292,16.7569
Chiapas,2020,3,17.86,18.57,20.16,-93.1292,16.7569
Chiapas,2020,4,15.28,16.2,19.2,-93.1292,16.7569
Chiapas,2020,5,16.17,16.6,18.94,-93.1292,16.7569
Chiapas,2020,6,17.57,17.67,19.38,-93.1292,16.7569
Chiapas,2020,7,18.64,18.73,19.93,-93.1292,16.7569
Chiapas,2020,8,18.61,18.74,20.02,-93.1292,16.7569
Chihuahua,2017,1,16.05,18,17.44,-106.0691,28.633
Chihuahua,2017,2,14.02,16.45,17.36,-106.0691,28.633
Chihuahua,2017,3,14.76,17.01,17.29,-106.0691,28.633
Chihuahua,2017,4,14.74,16.91,17.22,-106.0691,28.633
Chihuahua,2017,5,14.66,16.85,17.1,-106.0691,28.633
Chihuahua,2017,6,14.62,16.76,16.94,-106.0691,28.633
Chihuahua,2017,7,14.48,16.66,16.83,-106.0691,28.633
Chihuahua,2017,8,14.49,16.72,16.88,-106.0691,28.633
Chihuahua,2017,9,14.83,17.02,17.13,-106.0691,28.633
Chihuahua,2017,10,14.98,17.15,17.33,-106.0691,28.633
Chihuahua,2017,11,15.11,17.28,17.48,-106.0691,28.633
Chihuahua,2017,12,15.29,17.44,17.69,-106.0691,28.633
Chihuahua,2018,1,15.8,17.88,18.05,-106.0691,28.633
Chihuahua,2018,2,16.39,18.35,18.43,-106.0691,28.633
Chihuahua,2018,3,16.52,18.42,18.57,-106.0691,28.633
Chihuahua,2018,4,16.48,18.37,18.61,-106.0691,28.633
Chihuahua,2018,5,16.88,18.63,18.71,-106.0691,28.633
Chihuahua,2018,6,16.75,18.63,18.9,-106.0691,28.633
Chihuahua,2018,7,17.14,19,19.27,-106.0691,28.633
Chihuahua,2018,8,17.68,19.4,19.87,-106.0691,28.633
Chihuahua,2018,9,17.96,19.53,20.15,-106.0691,28.633
Chihuahua,2018,10,18.15,19.73,20.38,-106.0691,28.633
Chihuahua,2018,11,17.95,19.7,20.5,-106.0691,28.633
Chihuahua,2018,12,17.54,19.29,20.27,-106.0691,28.633
Chihuahua,2019,1,16.83,18.26,19.98,-106.0691,28.633
Chihuahua,2019,2,17.3,18.13,20.91,-106.0691,28.633
Chihuahua,2019,3,17.84,19.06,20.83,-106.0691,28.633
Chihuahua,2019,4,17.48,19.24,20.51,-106.0691,28.633
Chihuahua,2019,5,17.2,19.08,20.34,-106.0691,28.633
Chihuahua,2019,6,17.23,19.18,20.15,-106.0691,28.633
Chihuahua,2019,7,17.21,19.2,20.24,-106.0691,28.633
Chihuahua,2019,8,17.02,18.91,20.21,-106.0691,28.633
Chihuahua,2019,9,17.26,18.85,20.37,-106.0691,28.633
Chihuahua,2019,10,17.06,18.68,20.23,-106.0691,28.633
Chihuahua,2019,11,16.98,18.4,20.26,-106.0691,28.633
Chihuahua,2019,12,17.28,18.52,20.54,-106.0691,28.633
Chihuahua,2020,1,17.38,18.91,20.61,-106.0691,28.633
Chihuahua,2020,2,17.16,18.31,20.14,-106.0691,28.633
Chihuahua,2020,3,15.31,16.79,19.21,-106.0691,28.633
Chihuahua,2020,4,12.91,14.72,18.15,-106.0691,28.633
Chihuahua,2020,5,14.24,15.6,17.61,-106.0691,28.633
Chihuahua,2020,6,15.77,16.66,18.4,-106.0691,28.633
Chihuahua,2020,7,16.56,17.32,19.12,-106.0691,28.633
Chihuahua,2020,8,16.35,17.15,19.1,-106.0691,28.633
Ciudad de Mexico,2017,1,16.32,18.19,17.06,-99.1332,19.4326
Ciudad de Mexico,2017,2,16.3,18.17,17.05,-99.1332,19.4326
Ciudad de Mexico,2017,3,16.21,18.08,16.93,-99.1332,19.4326
Ciudad de Mexico,2017,4,16.2,18.05,16.86,-99.1332,19.4326
Ciudad de Mexico,2017,5,16.08,17.98,16.74,-99.1332,19.4326
Ciudad de Mexico,2017,6,15.95,17.83,16.56,-99.1332,19.4326
Ciudad de Mexico,2017,7,15.86,17.73,16.44,-99.1332,19.4326
Ciudad de Mexico,2017,8,15.92,17.81,16.49,-99.1332,19.4326
Ciudad de Mexico,2017,9,16.14,18.06,16.75,-99.1332,19.4326
Ciudad de Mexico,2017,10,16.26,18.15,16.94,-99.1332,19.4326
Ciudad de Mexico,2017,11,16.35,18.25,17.06,-99.1332,19.4326
Ciudad de Mexico,2017,12,16.45,18.34,17.18,-99.1332,19.4326
Ciudad de Mexico,2018,1,17.07,18.86,17.75,-99.1332,19.4326
Ciudad de Mexico,2018,2,17.85,19.47,18.42,-99.1332,19.4326
Ciudad de Mexico,2018,3,18.11,19.62,18.65,-99.1332,19.4326
Ciudad de Mexico,2018,4,18.21,19.7,18.74,-99.1332,19.4326
Ciudad de Mexico,2018,5,18.49,19.94,19,-99.1332,19.4326
Ciudad de Mexico,2018,6,18.79,20.24,19.29,-99.1332,19.4326
Ciudad de Mexico,2018,7,19.01,20.49,19.58,-99.1332,19.4326
Ciudad de Mexico,2018,8,19.34,20.77,20.01,-99.1332,19.4326
Ciudad de Mexico,2018,9,19.6,21.01,20.29,-99.1332,19.4326
Ciudad de Mexico,2018,10,19.86,21.33,20.62,-99.1332,19.4326
Ciudad de Mexico,2018,11,19.9,21.41,20.84,-99.1332,19.4326
Ciudad de Mexico,2018,12,19.76,21.26,20.75,-99.1332,19.4326
Ciudad de Mexico,2019,1,19.64,20.97,20.76,-99.1332,19.4326
Ciudad de Mexico,2019,2,19.96,20.86,21.52,-99.1332,19.4326
Ciudad de Mexico,2019,3,20.52,21.45,21.72,-99.1332,19.4326
Ciudad de Mexico,2019,4,20.49,21.56,21.59,-99.1332,19.4326
Ciudad de Mexico,2019,5,20.52,21.62,21.5,-99.1332,19.4326
Ciudad de Mexico,2019,6,20.4,21.61,21.34,-99.1332,19.4326
Ciudad de Mexico,2019,7,20.47,21.63,21.4,-99.1332,19.4326
Ciudad de Mexico,2019,8,20.31,21.64,21.31,-99.1332,19.4326
Ciudad de Mexico,2019,9,20.32,21.64,21.26,-99.1332,19.4326
Ciudad de Mexico,2019,10,20.27,21.46,21.16,-99.1332,19.4326
Ciudad de Mexico,2019,11,20.29,21.45,21.14,-99.1332,19.4326
Ciudad de Mexico,2019,12,20.45,21.6,21.29,-99.1332,19.4326
Ciudad de Mexico,2020,1,20.61,21.68,21.41,-99.1332,19.4326
Ciudad de Mexico,2020,2,20.46,21.37,21.19,-99.1332,19.4326
Ciudad de Mexico,2020,3,18.9,19.93,20.3,-99.1332,19.4326
Ciudad de Mexico,2020,4,15.57,16.61,18.81,-99.1332,19.4326
Ciudad de Mexico,2020,5,16.85,17.51,18.21,-99.1332,19.4326
Ciudad de Mexico,2020,6,18.25,18.72,18.68,-99.1332,19.4326
Ciudad de Mexico,2020,7,19.26,19.63,19.33,-99.1332,19.4326
Ciudad de Mexico,2020,8,19.25,19.6,19.43,-99.1332,19.4326
Coahuila,2017,1,15.77,17.65,17.19,-101.7068,27.0587
Coahuila,2017,2,15.83,17.67,17.18,-101.7068,27.0587
Coahuila,2017,3,15.71,17.56,17.07,-101.7068,27.0587
Coahuila,2017,4,15.62,17.46,17,-101.7068,27.0587
Coahuila,2017,5,15.47,17.35,16.88,-101.7068,27.0587
Coahuila,2017,6,15.41,17.25,16.7,-101.7068,27.0587
Coahuila,2017,7,15.36,17.18,16.58,-101.7068,27.0587
Coahuila,2017,8,15.45,17.28,16.64,-101.7068,27.0587
Coahuila,2017,9,15.67,17.55,16.88,-101.7068,27.0587
Coahuila,2017,10,15.84,17.68,17.08,-101.7068,27.0587
Coahuila,2017,11,15.97,17.82,17.22,-101.7068,27.0587
Coahuila,2017,12,16.16,17.99,17.39,-101.7068,27.0587
Coahuila,2018,1,16.68,18.43,17.94,-101.7068,27.0587
Coahuila,2018,2,17.38,18.99,18.63,-101.7068,27.0587
Coahuila,2018,3,17.6,19.12,18.87,-101.7068,27.0587
Coahuila,2018,4,17.68,19.18,18.96,-101.7068,27.0587
Coahuila,2018,5,17.74,19.22,19.09,-101.7068,27.0587
Coahuila,2018,6,18.07,19.52,19.33,-101.7068,27.0587
Coahuila,2018,7,18.43,19.9,19.75,-101.7068,27.0587
Coahuila,2018,8,18.96,20.45,20.32,-101.7068,27.0587
Coahuila,2018,9,19.26,20.76,20.63,-101.7068,27.0587
Coahuila,2018,10,19.48,21.03,20.93,-101.7068,27.0587
Coahuila,2018,11,19.44,21,21.11,-101.7068,27.0587
Coahuila,2018,12,19.18,20.73,21,-101.7068,27.0587
Coahuila,2019,1,18.9,20.29,20.91,-101.7068,27.0587
Coahuila,2019,2,19.19,20.23,21.54,-101.7068,27.0587
Coahuila,2019,3,19.68,20.84,21.58,-101.7068,27.0587
Coahuila,2019,4,19.37,20.77,21.3,-101.7068,27.0587
Coahuila,2019,5,19.17,20.66,21.15,-101.7068,27.0587
Coahuila,2019,6,19.18,20.73,20.96,-101.7068,27.0587
Coahuila,2019,7,19.3,20.78,21.13,-101.7068,27.0587
